Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
Ngọc Bảo An,Mát Mát Lạnh Lạnh,"Ngắn và rất ngắn. Mát mát và lạnh lạnh. 24 mảnh vụn li ti của cuộc sống như những viên đá va vào nhau lanh canh trong ly. Ngọc Bảo An dường như rất hứng thú với tính nước đôi của hiện diện. Tưởng câu chuyện nào cũng là một sự lưỡng lự, một cuộc tiến thoái lưỡng nan giữa ảo và thực, sống và chết, hài hước và nghiêm trang, suy nghĩ và hành động, yêu đương và tan vỡ… Sự trùng trình này, hoá ra có một vẻ đẹp riêng.",Nhã Nam,55000,130,46500,13/07/2016,NXB Hội Nhà Văn,Hết hàng,400
Kiệm,Câu Chuyện Bên Nồi Lẩu,"Kiệm là một cây viết trưởng thành từ Mann Up. Không phải kiểu ""đẹp trai, tóc vuốt vuốt các thứ"", cũng không ""hào hoa lãng tử"", Kiệm có cái chất mà nếu ví các cuốn sách như những quán cà phê, thì cuốn Kiệm sẽ là quán cà phê cổ, cổ đến nỗi làm người ta cay mắt khi vừa nhìn thấy biển quán.",Bách Việt,63000,200,53500,20/07/2016,NXB Dân Trí,Hết hàng,450
Lyle & Michael,Giáng Sinh Ở Thành Phố Ma Thuật - Tập 3: Âm Mưu Không Thể Tiết Lộ (Truyện Tranh),"là tập 3 của bộ truyện tranh Giáng sinh ở thành phố ma thuật là sự kết hợp của 2 tác giả Lyle (Trung Quốc) và Michael (Canada). Bạn sẽ gặp một chàng trai trẻ đầy nhiệt huyết, một cô gái nhỏ hoạt bát lanh lợi, bạn sẽ được cùng họ và những người bạn của họ khám phá những điều kì diệu trong thế giới phép thuật rộng lớn qua từng trang truyện.",Văn Việt,90000,210,72000,12/07/2016,NXB Văn Học,Còn hàng,310
George Macdonald,Sau Lưng Gió Bấc,"Nếu bạn năm tuổi, bạn sẽ thấy đây là một cuốn truyện đáng yêu và mê hoặc. Bạn sẽ cảm mến cậu bé Kim Cương với nụ cười ngọt ngào, khuôn mặt tĩnh tại như mặt hồ và tâm hồn của một thiên thần. Bạn sẽ choáng ngợp trước Bà Gió cao lớn tuyệt đẹp, làn tóc đen bay lồng lộng ẩn chứa bí mật của màn đêm. Bạn sẽ mê mải cuốn theo những chuyến phiêu lưu của Kim Cương và Gió Bấc, lướt trên đồng cỏ nước Anh, cuộn quanh những ống khói thành London thế kỷ 19, quét dọc ngang bầu trời mênh mông, vù vù trên mặt biển sóng cồn.",Nhã Nam,90000,420,76500,13/07/2016,NXB Hội Nhà Văn,Hết hàng,650
Amanda Huynh,Lam,Nhân vật chính của các mẩu truyện hay tản văn trong,NXB Trẻ,85000,164,72000,14/07/2016,NXB Trẻ,Hết hàng,300
Harry Dolan,Vòng Xoáy Tội Ác,là cuốn tiểu thuyết đầu tiên của Dolan trong series trinh thám,Bách Việt,125000,440,106000,05/07/2016,NXB Lao Động Xã Hội,Hết hàng,700
Fiona MacDonald,Sẽ Ra Sao Nếu Thiếu Nhà Vệ Sinh,"Bạn sẽ "" giải quyết nỗi buồn"" thế nào nếu không có nhà vệ sinh? Làm thế nào để giữ cho bản thân và ngôi nhà của mình luôn sạch sẽ? Quyển sách này nói về những câu chuyện thú vị xung quanh một tuyệt tác công nghệ không thể thiếu được trong nhà bạn: Nhà vệ sinh. Cùng tìm hiểu lý do tại sao nhà vệ sinh lại quan trọng đến như vậy,nó được cải tiến như thế nào qua nhiều năm và nó sẽ được phát triển ra sao trong tương lai. Vậy các bạn cồn chờ gì nữa hãy tìm hiểu và cùng ngồi lại đưa ra những ý kiến mình để đưa ra những góp ý bổ ích nhá !!!!",NXB Kim Đồng,22000,Đang,18500,11/07/2016,NXB Kim Đồng,Hết hàng,200
Oprah Winfrey,Những Điều Tôi Biết Chắc (Tái Bản 2018),"Lắm lúc một câu trả lời chẳng phải dễ kiếm ra. Nhưng đúng lúc tôi sẵn sàng giương cờ trắng và thét lên, “Thế đấy! Tôi chẳng biết gì hết!”. Tôi lại nhận ra mình đang dắt cún cưng đi dạo, đang đun một ấm trà hay ngâm mình trong bồn tắm, thế rồi, chẳng biết từ đâu, một khoảnh khắc sáng tỏ sẽ đưa tôi trở về với điều gì đó mà trong óc, trong tim và tự bản năng, tôi hoàn toàn thấu suốt, vượt qua khỏi bóng tối nghi ngại.",Alphabooks,99000,232,84000,12/01/2018,NXB Thế Giới,Hết hàng,450
Nguyệt,"Này Thơ Dại, Bước Chậm Lại Đi!","""Ngày hôm qua nghịch dại",Huy Hoàng,58000,242,49000,30/06/2016,NXB Hội Nhà Văn,Hết hàng,400
Trần Bích Hà,Dạy Con Đôi Khi Thật Đơn Giản,"Cuốn sách sẽ đi vào chi tiết cụ thể của việc dạy trẻ cho từng giai đoạn trong sự phát triển, kể từ ngày đầu tiên bé được sinh ra. Đối với mỗi giai đoạn, được tác giả đi vào chi tiết của việc luyện các kỹ năng, dạy thói quen tốt, cũng như đưa ra các biện pháp cụ thể và đơn giản để dạy các cháu về đạo đức.. Những kinh nghiệm được chia sẻ là dựa trên các tiêu chí của riêng tác giả lựa chọn.",Thái Hà,91000,615,54500,30/07/2016,NXB Lao Động Xã Hội,Còn hàng,900
